step,loss,reward,reward_std,rewards/correctness_reward_func/mean,rewards/format_reward_func/mean,rewards/int_reward_func/mean,kl,completion_length,completions/clipped_ratio
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.75,0.625
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.375,0.875
3,-0.0,0.0,0.0,0.0,0.0,0.0,-3.725290215195187e-11,192.125,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.875,0.875
5,0.0315,0.0625,0.1767766922712326,0.0,0.0,0.0625,0.0,136.125,0.125
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0002588870411273092,200.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0004547493881545961,200.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0006625727401115,183.0,0.5
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0006249298457987607,183.625,0.75
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0002642991894390434,197.625,0.875
11,0.0,0.0,0.0,0.0,0.0,0.0,0.00032028777059167624,161.625,0.25
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0004877472238149494,185.375,0.625
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0004349208320491016,199.25,0.875
14,0.0,0.0,0.0,0.0,0.0,0.0,0.00041675337706692517,193.375,0.75
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0004618488310370594,186.25,0.875
16,0.0,0.0,0.0,0.0,0.0,0.0,0.00029878286295570433,165.125,0.375
17,0.0,0.0,0.0,0.0,0.0,0.0,0.00042636762373149395,171.625,0.5
18,0.0,0.0,0.0,0.0,0.0,0.0,0.00043148233089596033,190.25,0.5
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0004081933293491602,186.75,0.75
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0006333057535812259,196.25,0.875
21,0.0,0.0,0.0,0.0,0.0,0.0,0.00045667815720662475,191.75,0.75
22,0.0,0.0,0.0,0.0,0.0,0.0,0.00020596911781467497,135.5,0.125
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0004611507465597242,155.875,0.25
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0006336755468510091,174.875,0.375
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0004605510621331632,175.125,0.625
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0006019253050908446,177.75,0.75
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0005306767416186631,173.375,0.5
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0005759139312431216,117.0,0.125
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0004273364902473986,147.5,0.25
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0005312958965077996,161.25,0.375
31,0.0,0.0,0.0,0.0,0.0,0.0,0.00030149321537464857,170.625,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0004309039213694632,196.0,0.875
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0007281474536284804,151.875,0.25
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0002797635388560593,183.375,0.625
35,0.0,0.0,0.0,0.0,0.0,0.0,0.00042768276762217283,197.25,0.875
36,0.0,0.0,0.0,0.0,0.0,0.0,0.00038111337926238775,193.375,0.5
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0005974515806883574,165.125,0.375
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0004591596662066877,169.75,0.375
39,0.0,0.0,0.0,0.0,0.0,0.0,0.00028583069797605276,173.5,0.125
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0004112541791982949,187.75,0.875
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0003349849721416831,200.0,1.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0004420242039486766,184.5,0.75
43,0.212,0.0625,0.1767766922712326,0.0,0.0,0.0625,0.00047336204443126917,180.0,0.75
44,0.0,0.0,0.0,0.0,0.0,0.0,0.00025979161728173494,190.25,0.75
45,0.0,0.0,0.0,0.0,0.0,0.0,0.00047282964806072414,199.25,0.875
46,0.0,0.0,0.0,0.0,0.0,0.0,0.00037412557867355645,134.375,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.00023243630130309612,121.625,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0002902549458667636,200.0,1.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0005000463570468128,183.625,0.625
50,0.0,0.0,0.0,0.0,0.0,0.0,0.00026254222029820085,186.625,0.75
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0004782258765771985,175.875,0.625
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0005483757704496384,200.0,1.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0007225592853501439,168.875,0.375
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0003138447063975036,187.625,0.625
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0003557947347871959,159.375,0.25
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0003056217101402581,196.375,0.75
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0005689861718565226,197.625,0.875
58,0.0594,0.3125,0.8838834762573242,0.25,0.0,0.0625,0.00042986267362721264,183.875,0.5
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0008825929835438728,192.5,0.625
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0005632592365145683,111.0,0.0
